"quantile","threshold","group","size","weighted_clustering","unweighted_clustering","density","weighted_assortativity","unweighted_assortativity","size_(%)","size_ratio"
0.08,0.13157623856,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.08,0.13157623856,"2",2,0.0,0.0,1.0,"","",50,0.5
0.09,0.15005239688,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.09,0.15005239688,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.09,0.15005239688,"2",2,0.0,0.0,1.0,"","",50,0.5
0.1,0.1685285552,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.1,0.1685285552,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.1,0.1685285552,"2",2,0.0,0.0,1.0,"","",50,0.5
0.11,0.18700471352,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.11,0.18700471352,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.11,0.18700471352,"2",2,0.0,0.0,1.0,"","",50,0.5
0.12,0.1897757608,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.12,0.1897757608,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.12,0.1897757608,"2",2,0.0,0.0,1.0,"","",50,0.5
0.13,0.1905836692,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.13,0.1905836692,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.13,0.1905836692,"2",2,0.0,0.0,1.0,"","",50,0.5
0.14,0.1913915776,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.14,0.1913915776,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.14,0.1913915776,"2",2,0.0,0.0,1.0,"","",50,0.5
0.15,0.192199486,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.15,0.192199486,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.15,0.192199486,"2",2,0.0,0.0,1.0,"","",50,0.5
0.16,0.1930073944,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.16,0.1930073944,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.16,0.1930073944,"2",2,0.0,0.0,1.0,"","",50,0.5
0.17,0.194387347,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.17,0.194387347,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.17,0.194387347,"2",0,"","","","","",0,0.0
0.18,0.196911388,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.18,0.196911388,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.18,0.196911388,"2",0,"","","","","",0,0.0
0.19,0.199435429,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.19,0.199435429,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.19,0.199435429,"2",0,"","","","","",0,0.0
0.2,0.20195947,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.2,0.20195947,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.2,0.20195947,"2",0,"","","","","",0,0.0
0.21,0.20448351099999998,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.21,0.20448351099999998,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.21,0.20448351099999998,"2",0,"","","","","",0,0.0
0.22,0.20700755199999998,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.22,0.20700755199999998,"1",5,0.502374322361354,0.9,0.9,-0.20359670881229847,-0.5,100,1.0
0.22,0.20700755199999998,"2",0,"","","","","",0,0.0
0.23,0.21464239100000002,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.23,0.21464239100000002,"1",5,0.5383612052212652,0.8666666666666666,0.8,-0.4453447051105197,-0.5483870967741936,100,1.0
0.23,0.21464239100000002,"2",0,"","","","","",0,0.0
0.24,0.223737458,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.24,0.223737458,"1",5,0.5383612052212652,0.8666666666666666,0.8,-0.4453447051105197,-0.5483870967741936,100,1.0
0.24,0.223737458,"2",0,"","","","","",0,0.0
0.25,0.232832525,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.25,0.232832525,"1",5,0.5383612052212652,0.8666666666666666,0.8,-0.4453447051105197,-0.5483870967741936,100,1.0
0.25,0.232832525,"2",0,"","","","","",0,0.0
0.26,0.241927592,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.26,0.241927592,"1",5,0.5383612052212652,0.8666666666666666,0.8,-0.4453447051105197,-0.5483870967741936,100,1.0
0.26,0.241927592,"2",0,"","","","","",0,0.0
0.27,0.25102265900000004,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.27,0.25102265900000004,"1",5,0.5383612052212652,0.8666666666666666,0.8,-0.4453447051105197,-0.5483870967741936,100,1.0
0.27,0.25102265900000004,"2",0,"","","","","",0,0.0
0.28,0.25850892480000004,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.28,0.25850892480000004,"1",5,0.48388931160933646,0.7,0.7,-0.3993919128621254,-0.5555555555555558,100,1.0
0.28,0.25850892480000004,"2",0,"","","","","",0,0.0
0.29,0.2603643864,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.29,0.2603643864,"1",5,0.48388931160933646,0.7,0.7,-0.3993919128621254,-0.5555555555555558,100,1.0
0.29,0.2603643864,"2",0,"","","","","",0,0.0
0.3,0.262219848,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.3,0.262219848,"1",5,0.48388931160933646,0.7,0.7,-0.3993919128621254,-0.5555555555555558,100,1.0
0.3,0.262219848,"2",0,"","","","","",0,0.0
0.31,0.2640753096,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.31,0.2640753096,"1",5,0.48388931160933646,0.7,0.7,-0.3993919128621254,-0.5555555555555558,100,1.0
0.31,0.2640753096,"2",0,"","","","","",0,0.0
0.32,0.26593077119999997,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.32,0.26593077119999997,"1",5,0.48388931160933646,0.7,0.7,-0.3993919128621254,-0.5555555555555558,100,1.0
0.32,0.26593077119999997,"2",0,"","","","","",0,0.0
0.33,0.26778623279999997,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.33,0.26778623279999997,"1",5,0.48388931160933646,0.7,0.7,-0.3993919128621254,-0.5555555555555558,100,1.0
0.33,0.26778623279999997,"2",0,"","","","","",0,0.0
0.34,0.2694307116,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.34,0.2694307116,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.34,0.2694307116,"2",0,"","","","","",0,0.0
